epoch	loss_func_tr	loss_func_val	accuracy_tr	accuracy_val
1	0.5200973661663011	0.48085045809298754	77.2	75.45
2	0.3939464294315112	0.3870255945300887	78.4	77.05
3	0.2992104385229602	0.32197282477305916	86.97	88.9
4	0.2258510047963418	0.27175668655370144	91.15	90.15
5	0.20401691314396128	0.2816236563059559	91.8	89.65
6	0.20364458328704688	0.2991353346307951	91.62	89.35
7	0.19297402728779506	0.3014676912842922	92.44	89.85
8	0.20499780388110536	0.2859546340471088	91.8	89.0
9	0.19397205368099396	0.273089270850141	92.36	90.25
10	0.2033391730339012	0.2955885511841113	91.94	88.55
11	0.2021362519249167	0.23453414560826988	92.08	91.45
12	0.18819859667421776	0.25096061054148344	92.67	91.5
13	0.18636941214093944	0.26728472905339595	92.7	90.8
14	0.18236695420046328	0.2604666873484239	92.71	90.6
15	0.19213872315304653	0.28081414750678435	92.15	91.25
16	0.18404051897065302	0.2590979858608802	92.8	90.2
17	0.1866317955407019	0.22916935089378968	92.62	92.35
18	0.1821549836336881	0.2716402759670587	92.84	90.4
19	0.19425917525163203	0.25864737064020765	92.28	90.75
20	0.1783291963465473	0.26258042853364894	92.92	91.55
21	0.19038215658197002	0.27321614712708586	92.61	90.5
22	0.180444319168322	0.26380484905100504	92.85	91.15
23	0.19193921630993252	0.2793807536880111	92.69	90.65
24	0.1853831558590146	0.313924737484258	93.03	89.7
25	0.18230033414661778	0.25859544306115745	92.59	91.25
26	0.1844003760765586	0.27299412304588055	92.97	90.9
27	0.1839269575413445	0.2570359544289553	93.05	90.7
28	0.18422909496623172	0.27898598498002386	92.96	90.7
29	0.16997253141279509	0.25973144419666594	93.42	91.05
30	0.19230255150748501	0.26268673911857215	92.41	90.05
31	0.18449494202876485	0.2830493631214445	92.69	90.75
32	0.18054931476607836	0.2671516980368845	93.15	91.2
33	0.18521740852284257	0.28745153605231766	92.91	89.3
34	0.17728299003437564	0.2722492502212034	92.94	90.85
35	0.1854994333799228	0.2721113760441344	92.75	89.9
36	0.16677127286211002	0.24226747733871926	93.61	91.4
37	0.19466924232740038	0.2815293921794056	92.26	90.6
38	0.17519380929089534	0.24867624465475205	93.03	90.7
39	0.18041317612260252	0.2584037792914116	92.62	91.55
40	0.1746428237460819	0.22910389677590315	93.3	92.15
41	0.179346771450338	0.2672169028479333	92.94	90.5
42	0.18471674487036058	0.28266410699787053	92.9	90.45
43	0.17032544201117378	0.23954110218838007	92.97	91.4
44	0.17589488429533656	0.24771724175327586	93.54	91.6
45	0.18095824920076303	0.272200043964397	92.49	90.55
46	0.18381760351821982	0.23683185182417385	92.88	91.55
47	0.1888495735809711	0.24770098987584688	92.69	90.85
48	0.17207334188049156	0.257797917776144	92.95	91.25
49	0.18607697925521025	0.2350867355654522	92.62	91.8
50	0.18155788604932252	0.2963999972711436	93.06	90.95
51	0.18692599744671148	0.21046187725177712	92.46	92.75
52	0.17333518570495615	0.26500253215084324	93.3	91.3
53	0.17739805108464343	0.29668922502652245	92.86	90.3
54	0.1683463142669025	0.2570928415656443	93.47	91.25
55	0.18857115095954222	0.2259671643811535	92.47	92.15
56	0.18235782906566875	0.2882232007614394	92.7	89.65
57	0.18602252748799702	0.2644652580605306	92.38	90.45
58	0.17614520399236294	0.2726971392141543	93.09	90.75
59	0.17136949152242792	0.273490814050954	93.31	90.9
60	0.1789009586829212	0.23507375275035117	92.71	91.4
61	0.17206646153517882	0.22957279621022797	93.41	92.05
62	0.17236808896640934	0.24727901046176698	92.88	90.85
63	0.17121293021601025	0.25498820626963814	93.19	91.3
64	0.1719064879377292	0.2562915564570208	93.21	91.25
65	0.16840640228717346	0.2658193583957916	93.39	91.85
66	0.17557587319644297	0.28979063111935377	92.8	89.95
67	0.1856721574420155	0.2430435840209798	92.76	91.8
68	0.17480428222089472	0.2484301134946726	93.31	91.45
69	0.16311770959963628	0.24539674611631682	93.61	91.15
70	0.17138464080703308	0.25182348473911587	93.21	90.05
71	0.17228543426584503	0.25656649132314713	93.01	91.5
72	0.1742182909403436	0.28212271465797095	93.36	91.45
73	0.17473381767224405	0.22619246584243813	93.01	92.45
74	0.16953224068569092	0.23155005831443867	93.12	91.35
75	0.17344851352405374	0.2014696079566281	92.97	92.45
76	0.16765518244109387	0.2313410654840884	93.28	91.45
77	0.17930856233883585	0.25835882636796464	92.97	91.35
78	0.1707431981947146	0.23996771164824607	93.33	91.55
79	0.17106853559599022	0.24186176662597902	93.36	91.05
80	0.17285344803226246	0.2503420327450545	92.99	91.4
81	0.17507238887880117	0.28163668607463477	93.04	90.55
82	0.1669775375877153	0.2608979874839122	93.53	91.5
83	0.16484794257815322	0.28939094200450655	93.42	90.0
84	0.17363136445884408	0.25548740101312506	93.16	90.15
85	0.17428520751223242	0.2268456608326906	92.74	92.55
86	0.16974855359581817	0.23147792072596052	93.24	92.2
87	0.16618966022757198	0.26490305182228807	93.44	91.15
88	0.16890417244342462	0.3037789135722055	93.59	90.2
89	0.17426801475393452	0.2608559259161726	93.06	91.25
90	0.16797213539133998	0.26335909214391867	93.56	90.9
91	0.16797545721965998	0.26459943267845765	93.11	91.4
92	0.16534753800478308	0.2565567045658872	93.6	91.45
93	0.16459241890035478	0.2617147584186509	93.45	91.75
94	0.1725905128384174	0.22237841720481472	93.28	93.05
95	0.16990022672733823	0.30155525809947503	93.08	89.9
96	0.1700793405979435	0.2468299033257125	93.3	91.65
97	0.16299635918776584	0.25210644044300656	93.61	92.0
98	0.1696908457099863	0.24202921732349955	93.17	92.15
99	0.16404076345060037	0.2882942340346381	93.62	90.25
100	0.16641091484506312	0.2349054405583155	93.38	91.7
