epoch,loss_func_tr,loss_func_val,accuracy_tr,accuracy_val
1,0.4911531388,0.4009062701,76.56,79.75
2,0.3352721197,0.3028694322,84.7,90.25
3,0.2557191649,0.2794271508,91.45,91.15
4,0.2134228344,0.2327299444,92.28,92
5,0.1836798636,0.2233067298,92.76,91.3
6,0.1801138443,0.2573407323,93.09,90.1
7,0.1629319281,0.2325020823,93.8,91.15
8,0.1707403197,0.2637994949,93.72,90.7
9,0.1661251826,0.211779952,93.67,93.4
10,0.1626083284,0.2101670792,93.7,93.65
11,0.1656782103,0.2191121592,93.79,92.85
12,0.1686216279,0.2374009179,93.51,92.05
13,0.1602034694,0.2174584741,93.91,92.7
14,0.1446684604,0.23384419,94.53,92.05
15,0.1566822282,0.2029954537,94.17,92.95
16,0.1544680145,0.2160015814,94.05,92.35
17,0.1626055029,0.1957190821,93.51,92.85
18,0.1588332305,0.2073525423,94.03,92.9
19,0.1554500531,0.2135666916,93.97,92.55
20,0.1409289317,0.2396588739,94.84,91.55
21,0.1519286667,0.2000359501,94.11,92.6
22,0.1503942963,0.1910513968,94.19,93.5
23,0.1524146866,0.2154227703,93.79,92.8
24,0.1491652399,0.1869325922,94.28,93.3
25,0.1523269757,0.2392108663,94,91.85
26,0.1393041911,0.2062208671,94.65,92.05
27,0.1520844232,0.2228959251,93.97,92.35
28,0.1442113111,0.2172964112,94.45,92.7
29,0.1534602387,0.1757176925,93.92,93.6
30,0.1434663254,0.2064603383,94.44,93
31,0.148616767,0.2154973862,94.33,92.75
32,0.1512512822,0.2337685539,94.26,91.25
33,0.1460740369,0.2037549527,94.46,92.65
34,0.1471015804,0.2089900569,94.33,92.45
35,0.1501818197,0.1954377458,94.17,93.05
36,0.1461477128,0.206653384,94.31,93.15
37,0.1401092679,0.1767357108,94.81,93.4
38,0.1508535229,0.2165175811,93.88,92.75
39,0.1462171025,0.2173503209,94.38,92.6
40,0.1409617273,0.2238380915,94.53,91.65
41,0.1454660116,0.2244614877,94.42,92.6
42,0.1424233274,0.2154519936,94.4,92.7
43,0.1559247265,0.2025269546,94.21,92.9
44,0.1392288088,0.190468095,94.64,93.45
45,0.143194076,0.1809042867,94.71,93.25
46,0.1359063791,0.2254994756,94.74,92.4
47,0.1303495146,0.234756426,94.94,91.9
48,0.1399838013,0.2101053923,94.28,92.55
49,0.1406501652,0.2087027882,94.55,92.4
50,0.1414206834,0.2172348696,94.47,92.7
51,0.1440089739,0.2080865014,94.61,92.7
52,0.1512630468,0.2076128129,94.05,92.7
53,0.1459176819,0.1809355998,94.16,93.75
54,0.1311559697,0.198726154,95.05,93.1
55,0.1422642846,0.2009350551,94.17,93.6
56,0.1441328181,0.1977084533,94.41,92.9
57,0.135783859,0.2176111703,94.58,92
58,0.1374786089,0.2134490138,94.51,93.45
59,0.140417955,0.2141636705,94.5,92.75
60,0.1340250118,0.2105550783,94.9,92.9
61,0.1508004308,0.2055586532,93.99,93
62,0.1368301745,0.2008268456,94.69,93.2
63,0.1513082735,0.1959241429,93.84,93.05
64,0.1369372654,0.1978258749,94.75,92.7
65,0.1410101829,0.2115262632,94.74,92.2
66,0.1461582298,0.2226780197,94.21,92.5
67,0.1461319596,0.1923729683,94.04,93.35
68,0.1441612659,0.2193792967,94.17,91.9
69,0.1469905182,0.2045283923,94.31,92.6
70,0.1380817685,0.2184702644,94.46,92.4
71,0.1348604332,0.2009354429,94.94,93.25
72,0.1389369189,0.1846039918,94.74,93.7
73,0.1431880075,0.2011953293,94.2,92.3
74,0.1412161219,0.1836022108,94.38,93.25
75,0.1453375246,0.2034710139,94.38,93.1
76,0.1351612834,0.2190131921,94.75,92.55
77,0.1390250584,0.1955462688,94.58,93
78,0.1377655863,0.2240363706,94.51,91.85
79,0.1424302319,0.1848504652,94.31,94
80,0.1432755257,0.1789760289,94.26,93.25
81,0.1396190311,0.2072165024,94.62,92.65
82,0.1357784302,0.201624008,94.79,92.9
83,0.1372402369,0.2142169743,94.49,92.65
84,0.1424985928,0.186085244,94.5,93.65
85,0.143794237,0.2250781992,94.26,91.95
86,0.1271293852,0.1913394431,95.09,93.15
87,0.1286521668,0.1958729291,94.92,93.05
88,0.1301866083,0.18342966,94.85,93.2
89,0.1388406847,0.1750704487,94.7,93.05
90,0.1410510705,0.1989848475,94.51,92.6
91,0.1343414912,0.2043596901,94.42,92.55
92,0.1264381266,0.2081398161,95.26,93
93,0.1326836215,0.2175640226,94.69,93.2
94,0.136695659,0.1857598415,94.6,92.9
95,0.1383102913,0.2234218438,94.67,91.5
96,0.1389004313,0.1893184651,94.53,93.15
97,0.1348294049,0.1951707496,94.66,93.6
98,0.1355107474,0.1848215834,94.42,93.15
99,0.1267106395,0.1821790063,95.08,93.25
100,0.1397692759,0.2197795854,94.56,92.75
