epochs	loss_func_tr_region_0_0	loss_func_val_region_0_0	accuracy_tr_region_0_0	accuracy_val_region_0_0	loss_func_tr_region_0_1	loss_func_val_region_0_1	accuracy_tr_region_0_1	accuracy_val_region_0_1	loss_func_tr_region_0_2	loss_func_val_region_0_2	accuracy_tr_region_0_2	accuracy_val_region_0_2	loss_func_tr_region_1_0	loss_func_val_region_1_0	accuracy_tr_region_1_0	accuracy_val_region_1_0	loss_func_tr_region_1_1	loss_func_val_region_1_1	accuracy_tr_region_1_1	accuracy_val_region_1_1	loss_func_tr_region_1_2	loss_func_val_region_1_2	accuracy_tr_region_1_2	accuracy_val_region_1_2
1	0.001557024563810014	0.00018401412048075371	99.99	100.0	0.002148873581690047	0.00012895463287645014	99.96	100.0	0.004055109902548527	0.00018618755572099845	99.94	100.0	0.21021947111189057	0.36834622955298707	91.79	86.3	0.17906488608243554	0.4427674350122888	93.38	84.3	0.192878272672722	0.5012824008622483	92.6	81.75
2	0.0001215695552396081	0.00010006435672643476	100.0	100.0	0.0008662349481917442	0.004878335022140533	99.99	99.95	0.0031453864898465813	0.00021896679173958233	99.96	100.0	0.1984968151837505	0.4376356571218239	92.06	84.6	0.15492945644946504	0.44103031238734547	94.24	82.05	0.18861496321132615	0.463678057769117	92.55	77.8
3	7.288188424703534e-05	7.041853861989012e-05	100.0	100.0	0.0009802535514490777	0.00019517451693040755	99.99	100.0	0.001405370611238805	0.00011897404941299072	99.99	100.0	0.2050002032775823	0.4374332657677742	92.19	84.4	0.14992063905778127	0.3148592506130299	94.39	89.4	0.18179729338709008	0.4040534476486791	93.0	83.85
4	4.1275112930334145e-05	6.242590903494972e-05	100.0	100.0	0.0024948242482490867	0.00011208915427502576	99.96	100.0	0.0013678922803462257	0.00011520686833859628	99.99	100.0	0.20637751135157376	0.40275910159219164	91.76	85.65	0.1442850804977586	0.3187919254853041	94.64	89.95	0.1725194519272088	0.4705573345465682	92.99	80.75
5	3.523840580769644e-05	4.812340147376659e-05	100.0	100.0	0.00011715449595349092	4.688335535558252e-05	100.0	100.0	0.002288497968058678	0.00010828535102243109	99.97	100.0	0.1921195067473016	0.40632981426883996	92.59	84.75	0.15986221172691703	0.33588430215259724	94.15	89.4	0.17760282715124828	0.5059342200360356	92.97	81.05
6	2.5701725298636902e-05	3.836461521073886e-05	100.0	100.0	8.098848037517392e-05	0.005011307804460785	100.0	99.95	0.0033376041838432224	0.00019653155707976565	99.95	100.0	0.19408576392198337	0.37867342710827506	92.21	85.4	0.1516837190266091	0.3076373005942278	94.45	88.75	0.17090992395783064	0.42361515767794117	93.54	82.7
7	2.2532058643712106e-05	2.251837870877438e-05	100.0	100.0	0.0008219664845993205	4.9242643904896966e-05	99.99	100.0	0.002758998681018383	0.0001797017762350137	99.96	100.0	0.19522570358622204	0.39210918000100176	92.04	85.45	0.14604097170809954	0.321653115786321	94.7	90.0	0.17820950477020706	0.4330771494274509	93.15	81.95
8	2.0663712201610453e-05	2.632152382262376e-05	100.0	100.0	8.458244956698558e-05	3.167581423773669e-05	100.0	100.0	0.0010659553329448314	0.00012024053536446644	99.99	100.0	0.19259894535568017	0.36300508928736325	92.11	87.5	0.152201616389606	0.3227889343344268	94.22	88.55	0.17429628025776595	0.48371140068172624	93.29	80.7
9	1.8874653569236345e-05	2.5097452913605878e-05	100.0	100.0	0.0007924582659994126	0.00012162108850400699	99.99	100.0	0.003104201057771064	0.00019129813179660714	99.96	100.0	0.190514837422384	0.42140796097435307	92.33	85.6	0.14970078959997182	0.2533111286302301	94.16	91.45	0.17883407210886537	0.3995331899129051	93.15	82.85
10	1.5591503630719926e-05	2.572328015529024e-05	100.0	100.0	0.00012378124581133144	4.916930314710299e-05	100.0	100.0	0.00012694627049091877	7.142723038644761e-05	100.0	100.0	0.19118300911647235	0.3951043701675699	92.3	85.6	0.1421141684482239	0.3278800264102902	94.49	88.85	0.16735697125929117	0.48163045750779165	93.54	81.35
